Node_ID,X_Coord,Y_Coord,Z_Coord,member,Is_Support,Is_Load_Bearing,U1,U2,U3,R1,R2,R3,Remove,Add_Back 
P001115,16353254.45,13445068.67,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001116,16351257.2,13444964,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001117,16349259.94,13444859.33,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001118,16347262.68,13444754.66,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001119,16345265.42,13444649.98,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001120,16343268.16,13444545.31,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001121,16341270.9,13444440.64,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001122,16339273.64,13444335.97,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001123,16337276.38,13444231.3,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001124,16335279.12,13444126.62,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001217,16349364.61,13442862.07,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001218,16347367.35,13442757.4,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001219,16345370.09,13442652.72,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001220,16343372.83,13442548.05,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001221,16341375.57,13442443.38,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001222,16339378.31,13442338.71,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001223,16337381.05,13442234.04,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001224,16335383.79,13442129.36,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001225,16333386.54,13442024.69,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001319,16345474.76,13440655.47,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001320,16343477.5,13440550.79,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001321,16341480.24,13440446.12,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001322,16339482.98,13440341.45,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001323,16337485.73,13440236.78,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P001324,16335488.47,13440132.11,58197.74855,None,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011115,16353254.45,13445068.67,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011116,16351257.2,13444964,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011117,16349259.94,13444859.33,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011118,16347262.68,13444754.66,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011119,16345265.42,13444649.98,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011120,16343268.16,13444545.31,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011121,16341270.9,13444440.64,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011122,16339273.64,13444335.97,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011123,16337276.38,13444231.3,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011124,16335279.12,13444126.62,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011217,16349364.61,13442862.07,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011218,16347367.35,13442757.4,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011219,16345370.09,13442652.72,60197.74855,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011220,16343372.83,13442548.05,60197.74855,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011221,16341375.57,13442443.38,60197.74855,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011222,16339378.31,13442338.71,60197.74855,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011223,16337381.05,13442234.04,60197.74855,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011224,16335383.79,13442129.36,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011225,16333386.54,13442024.69,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011319,16345474.76,13440655.47,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011320,16343477.5,13440550.79,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011321,16341480.24,13440446.12,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011322,16339482.98,13440341.45,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011323,16337485.73,13440236.78,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P011324,16335488.47,13440132.11,60197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021115,16353254.45,13445068.67,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021116,16351257.2,13444964,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021117,16349259.94,13444859.33,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021118,16347262.68,13444754.66,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021119,16345265.42,13444649.98,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021120,16343268.16,13444545.31,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021121,16341270.9,13444440.64,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021122,16339273.64,13444335.97,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021123,16337276.38,13444231.3,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021218,16347367.35,13442757.4,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021219,16345370.09,13442652.72,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021220,16343372.83,13442548.05,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021221,16341375.57,13442443.38,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021222,16339378.31,13442338.71,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021223,16337381.05,13442234.04,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021321,16341480.24,13440446.12,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021322,16339482.98,13440341.45,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P021323,16337485.73,13440236.78,62197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P031119,16345265.42,13444649.98,64197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P031120,16343268.16,13444545.31,64197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
P031121,16341270.9,13444440.64,64197.74855,None,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111502,16352255.82,13445016.34,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111606,16350258.57,13444911.66,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111608,16352255.82,13445016.34,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111610,16350310.9,13443913.03,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111715,16349312.27,13443860.7,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111717,16348261.31,13444806.99,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111719,16350258.57,13444911.66,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111721,16348313.64,13443808.36,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111826,16347315.01,13443756.03,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111828,16346264.05,13444702.32,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111830,16348261.31,13444806.99,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111832,16346316.38,13443703.69,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111834,16348313.64,13443808.36,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111939,16345317.75,13443651.35,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111941,16344266.79,13444597.65,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111943,16346264.05,13444702.32,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111945,16344319.12,13443599.02,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00111947,16346316.38,13443703.69,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112052,16343320.49,13443546.68,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112054,16342269.53,13444492.98,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112056,16344266.79,13444597.65,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112058,16342321.87,13443494.35,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112060,16344319.12,13443599.02,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112165,16341323.24,13443442.01,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112167,16340272.27,13444388.3,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112169,16342269.53,13444492.98,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112171,16340324.61,13443389.67,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112173,16342321.87,13443494.35,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112278,16339325.98,13443337.34,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112280,16338275.01,13444283.63,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112282,16340272.27,13444388.3,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112284,16338327.35,13443285,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112286,16340324.61,13443389.67,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112391,16337328.72,13443232.67,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112393,16336277.75,13444178.96,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112395,16338275.01,13444283.63,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112397,16336330.09,13443180.33,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X00112399,16338327.35,13443285,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X001124103,16335331.46,13443127.99,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X001124105,16336277.75,13444178.96,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X001124107,16334332.83,13443075.66,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X001124109,16336330.09,13443180.33,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X001217113,16348365.98,13442809.73,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X001217115,16349312.27,13443860.7,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X001217117,16348313.64,13443808.36,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X001217119,16350310.9,13443913.03,58197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
X001218123,16346368.72,13442705.06,59197.74855,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
