Elt_ID,Start_Node_ID,End_Node_ID,Elt_Type,Orientation,Size,PI,V2I,V3I,TI,PJ,V2J,V3J,TJ,M2I,M3I,M2J,M3J,add_back 
CO0001,P001115,P011115,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0001,P001115,P001116,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0002,P001115,X00111502,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0001,P011116,X00111502,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
CO0002,P001116,P011116,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0003,P001116,P001117,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0004,P001116,X00111606,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0002,P011117,X00111606,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0005,P001116,X00111608,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0003,P011115,X00111608,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0006,P001116,X00111610,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0004,P001217,X00111610,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
CO0003,P001117,P011117,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0007,P001117,P001217,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0008,P001117,P001118,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0009,P001117,X00111715,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0005,P011217,X00111715,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0010,P001117,X00111717,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0006,P011118,X00111717,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0011,P001117,X00111719,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0007,P011116,X00111719,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0012,P001117,X00111721,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0008,P001218,X00111721,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
CO0004,P001118,P011118,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0013,P001118,P001218,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0014,P001118,P001119,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0015,P001118,X00111826,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0009,P011218,X00111826,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0016,P001118,X00111828,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0010,P011119,X00111828,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0017,P001118,X00111830,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0011,P011117,X00111830,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0018,P001118,X00111832,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0012,P001219,X00111832,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0019,P001118,X00111834,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0013,P001217,X00111834,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
CO0005,P001119,P011119,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0020,P001119,P001219,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0021,P001119,P001120,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0022,P001119,X00111939,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0014,P011219,X00111939,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0023,P001119,X00111941,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0015,P011120,X00111941,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0024,P001119,X00111943,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0016,P011118,X00111943,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0025,P001119,X00111945,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0017,P001220,X00111945,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0026,P001119,X00111947,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0018,P001218,X00111947,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
CO0006,P001120,P011120,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0027,P001120,P001220,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0028,P001120,P001121,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0029,P001120,X00112052,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0019,P011220,X00112052,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0030,P001120,X00112054,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0020,P011121,X00112054,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0031,P001120,X00112056,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0021,P011119,X00112056,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0032,P001120,X00112058,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0022,P001221,X00112058,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0033,P001120,X00112060,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0023,P001219,X00112060,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
CO0007,P001121,P011121,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0034,P001121,P001221,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0035,P001121,P001122,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0036,P001121,X00112165,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0024,P011221,X00112165,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0037,P001121,X00112167,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0025,P011122,X00112167,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0038,P001121,X00112169,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0026,P011120,X00112169,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0039,P001121,X00112171,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0027,P001222,X00112171,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0040,P001121,X00112173,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0028,P001220,X00112173,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
CO0008,P001122,P011122,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0041,P001122,P001222,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0042,P001122,P001123,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0043,P001122,X00112278,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0029,P011222,X00112278,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0044,P001122,X00112280,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0030,P011123,X00112280,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0045,P001122,X00112282,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0031,P011121,X00112282,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0046,P001122,X00112284,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0032,P001223,X00112284,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0047,P001122,X00112286,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0033,P001221,X00112286,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
CO0009,P001123,P011123,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0048,P001123,P001223,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0049,P001123,P001124,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0050,P001123,X00112391,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0034,P011223,X00112391,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0051,P001123,X00112393,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0035,P011124,X00112393,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0052,P001123,X00112395,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0036,P011122,X00112395,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0053,P001123,X00112397,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0037,P001224,X00112397,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0054,P001123,X00112399,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0038,P001222,X00112399,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
CO0010,P001124,P011124,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0055,P001124,P001224,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0056,P001124,X001124103,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0039,P011224,X001124103,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0057,P001124,X001124105,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0040,P011123,X001124105,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0058,P001124,X001124107,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0041,P001225,X001124107,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0059,P001124,X001124109,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0042,P001223,X001124109,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
CO0011,P001217,P011217,1,93.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0060,P001217,P001218,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0061,P001217,X001217113,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0043,P011218,X001217113,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BE0062,P001217,X001217115,2,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
BR0044,P011117,X001217115,3,0.0000,HSS50.8X50.8X3.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE 
