member_ID,start_node,end_node,member_length,member_type
CO0001,P001115,P011115,2000,1
BE0001,P001115,P001116,2000,2
BR0001,P001115,X00111502,1414.2136,3
BR0002,P011116,X00111502,1414.2136,3
CO0002,P001116,P011116,2000,1
BE0002,P001116,P001117,2000,2
BR0003,P001116,X00111606,1414.2136,3
BR0004,P011117,X00111606,1414.2136,3
BR0005,P001116,X00111502,1414.2136,3
BR0006,P011115,X00111502,1414.2136,3
BR0007,P001116,X00111610,1414.2136,3
BR0008,P001217,X00111610,1414.2136,3
CO0003,P001117,P011117,2000,1
BE0003,P001117,P001217,2000,2
BE0004,P001117,P001118,2000,2
BR0009,P001117,X00111715,1414.2136,3
BR0010,P011217,X00111715,1414.2136,3
BR0011,P001117,X00111717,1414.2136,3
BR0012,P011118,X00111717,1414.2136,3
BR0013,P001117,X00111606,1414.2136,3
BR0014,P011116,X00111606,1414.2136,3
BR0015,P001117,X00111721,1414.2136,3
BR0016,P001218,X00111721,1414.2136,3
CO0004,P001118,P011118,2000,1
BE0005,P001118,P001218,2000,2
BE0006,P001118,P001119,2000,2
BR0017,P001118,X00111826,1414.2136,3
BR0018,P011218,X00111826,1414.2136,3
BR0019,P001118,X00111828,1414.2136,3
BR0020,P011119,X00111828,1414.2136,3
BR0021,P001118,X00111717,1414.2136,3
BR0022,P011117,X00111717,1414.2136,3
BR0023,P001118,X00111832,1414.2136,3
BR0024,P001219,X00111832,1414.2136,3
BR0025,P001118,X00111721,1414.2136,3
BR0026,P001217,X00111721,1414.2136,3
CO0005,P001119,P011119,2000,1
BE0007,P001119,P001219,2000,2
BE0008,P001119,P001120,2000,2
BR0027,P001119,X00111939,1414.2136,3
BR0028,P011219,X00111939,1414.2136,3
BR0029,P001119,X00111941,1414.2136,3
BR0030,P011120,X00111941,1414.2136,3
BR0031,P001119,X00111828,1414.2136,3
BR0032,P011118,X00111828,1414.2136,3
BR0033,P001119,X00111945,1414.2136,3
BR0034,P001220,X00111945,1414.2136,3
BR0035,P001119,X00111832,1414.2136,3
BR0036,P001218,X00111832,1414.2136,3
CO0006,P001120,P011120,2000,1
BE0009,P001120,P001220,2000,2
BE0010,P001120,P001121,2000,2
BR0037,P001120,X00112052,1414.2136,3
BR0038,P011220,X00112052,1414.2136,3
BR0039,P001120,X00112054,1414.2136,3
BR0040,P011121,X00112054,1414.2136,3
BR0041,P001120,X00111941,1414.2136,3
BR0042,P011119,X00111941,1414.2136,3
BR0043,P001120,X00112058,1414.2136,3
BR0044,P001221,X00112058,1414.2136,3
BR0045,P001120,X00111945,1414.2136,3
BR0046,P001219,X00111945,1414.2136,3
CO0007,P001121,P011121,2000,1
BE0011,P001121,P001221,2000,2
BE0012,P001121,P001122,2000,2
BR0047,P001121,X00112165,1414.2136,3
BR0048,P011221,X00112165,1414.2136,3
BR0049,P001121,X00112167,1414.2136,3
BR0050,P011122,X00112167,1414.2136,3
BR0051,P001121,X00112054,1414.2136,3
BR0052,P011120,X00112054,1414.2136,3
BR0053,P001121,X00112171,1414.2136,3
BR0054,P001222,X00112171,1414.2136,3
BR0055,P001121,X00112058,1414.2136,3
BR0056,P001220,X00112058,1414.2136,3
CO0008,P001122,P011122,2000,1
BE0013,P001122,P001222,2000,2
BE0014,P001122,P001123,2000,2
BR0057,P001122,X00112278,1414.2136,3
BR0058,P011222,X00112278,1414.2136,3
BR0059,P001122,X00112280,1414.2136,3
BR0060,P011123,X00112280,1414.2136,3
BR0061,P001122,X00112167,1414.2136,3
BR0062,P011121,X00112167,1414.2136,3
BR0063,P001122,X00112284,1414.2136,3
BR0064,P001223,X00112284,1414.2136,3
BR0065,P001122,X00112171,1414.2136,3
BR0066,P001221,X00112171,1414.2136,3
CO0009,P001123,P011123,2000,1
BE0015,P001123,P001223,2000,2
BE0016,P001123,P001124,2000,2
BR0067,P001123,X00112391,1414.2136,3
BR0068,P011223,X00112391,1414.2136,3
BR0069,P001123,X00112393,1414.2136,3
BR0070,P011124,X00112393,1414.2136,3
BR0071,P001123,X00112280,1414.2136,3
BR0072,P011122,X00112280,1414.2136,3
BR0073,P001123,X00112397,1414.2136,3
BR0074,P001224,X00112397,1414.2136,3
BR0075,P001123,X00112284,1414.2136,3
BR0076,P001222,X00112284,1414.2136,3
CO0010,P001124,P011124,2000,1
BE0017,P001124,P001224,2000,2
BR0077,P001124,X001124103,1414.2136,3
BR0078,P011224,X001124103,1414.2136,3
BR0079,P001124,X00112393,1414.2136,3
BR0080,P011123,X00112393,1414.2136,3
BR0081,P001124,X001124107,1414.2136,3
BR0082,P001225,X001124107,1414.2136,3
BR0083,P001124,X00112397,1414.2136,3
BR0084,P001223,X00112397,1414.2136,3
CO0011,P001217,P011217,2000,1
BE0018,P001217,P001218,2000,2
BR0085,P001217,X001217113,1414.2136,3
BR0086,P011218,X001217113,1414.2136,3
BR0087,P001217,X00111715,1414.2136,3
BR0088,P011117,X00111715,1414.2136,3
CO0012,P001218,P011218,2000,1
BE0019,P001218,P001219,2000,2
BR0089,P001218,X001218119,1414.2136,3
BR0090,P011219,X001218119,1414.2136,3
BR0091,P001218,X001217113,1414.2136,3
BR0092,P011217,X001217113,1414.2136,3
BR0093,P001218,X00111826,1414.2136,3
BR0094,P011118,X00111826,1414.2136,3
BR0095,P001218,X001218125,1414.2136,3
BR0096,P001319,X001218125,1414.2136,3
CO0013,P001219,P011219,2000,1
BE0020,P001219,P001319,2000,2
BE0021,P001219,P001220,2000,2
BR0097,P001219,X001219130,1414.2136,3
BR0098,P011319,X001219130,1414.2136,3
BR0099,P001219,X001219132,1414.2136,3
BR0100,P011220,X001219132,1414.2136,3
BR0101,P001219,X001218119,1414.2136,3
BR0102,P011218,X001218119,1414.2136,3
BR0103,P001219,X00111939,1414.2136,3
BR0104,P011119,X00111939,1414.2136,3
BR0105,P001219,X001219138,1414.2136,3
BR0106,P001320,X001219138,1414.2136,3
CO0014,P001220,P011220,2000,1
BE0022,P001220,P001320,2000,2
BE0023,P001220,P001221,2000,2
BR0107,P001220,X001220143,1414.2136,3
BR0108,P011320,X001220143,1414.2136,3
BR0109,P001220,X001220145,1414.2136,3
BR0110,P011221,X001220145,1414.2136,3
BR0111,P001220,X001219132,1414.2136,3
BR0112,P011219,X001219132,1414.2136,3
BR0113,P001220,X00112052,1414.2136,3
BR0114,P011120,X00112052,1414.2136,3
BR0115,P001220,X001220151,1414.2136,3
BR0116,P001321,X001220151,1414.2136,3
BR0117,P001220,X001219138,1414.2136,3
BR0118,P001319,X001219138,1414.2136,3
CO0015,P001221,P011221,2000,1
BE0024,P001221,P001321,2000,2
BE0025,P001221,P001222,2000,2
BR0119,P001221,X001221158,1414.2136,3
BR0120,P011321,X001221158,1414.2136,3
BR0121,P001221,X001221160,1414.2136,3
BR0122,P011222,X001221160,1414.2136,3
BR0123,P001221,X001220145,1414.2136,3
BR0124,P011220,X001220145,1414.2136,3
BR0125,P001221,X00112165,1414.2136,3
BR0126,P011121,X00112165,1414.2136,3
BR0127,P001221,X001221166,1414.2136,3
BR0128,P001322,X001221166,1414.2136,3
BR0129,P001221,X001220151,1414.2136,3
BR0130,P001320,X001220151,1414.2136,3
CO0016,P001222,P011222,2000,1
BE0026,P001222,P001322,2000,2
BE0027,P001222,P001223,2000,2
BR0131,P001222,X001222173,1414.2136,3
BR0132,P011322,X001222173,1414.2136,3
BR0133,P001222,X001222175,1414.2136,3
BR0134,P011223,X001222175,1414.2136,3
BR0135,P001222,X001221160,1414.2136,3
BR0136,P011221,X001221160,1414.2136,3
BR0137,P001222,X00112278,1414.2136,3
BR0138,P011122,X00112278,1414.2136,3
BR0139,P001222,X001222181,1414.2136,3
BR0140,P001323,X001222181,1414.2136,3
BR0141,P001222,X001221166,1414.2136,3
BR0142,P001321,X001221166,1414.2136,3
CO0017,P001223,P011223,2000,1
BE0028,P001223,P001323,2000,2
BE0029,P001223,P001224,2000,2
BR0143,P001223,X001223188,1414.2136,3
BR0144,P011323,X001223188,1414.2136,3
BR0145,P001223,X001223190,1414.2136,3
BR0146,P011224,X001223190,1414.2136,3
BR0147,P001223,X001222175,1414.2136,3
BR0148,P011222,X001222175,1414.2136,3
BR0149,P001223,X00112391,1414.2136,3
BR0150,P011123,X00112391,1414.2136,3
BR0151,P001223,X001223196,1414.2136,3
BR0152,P001324,X001223196,1414.2136,3
BR0153,P001223,X001222181,1414.2136,3
BR0154,P001322,X001222181,1414.2136,3
CO0018,P001224,P011224,2000,1
BE0030,P001224,P001324,2000,2
BE0031,P001224,P001225,2000,2
BR0155,P001224,X001224203,1414.2136,3
BR0156,P011324,X001224203,1414.2136,3
BR0157,P001224,X001224205,1414.2136,3
BR0158,P011225,X001224205,1414.2136,3
BR0159,P001224,X001223190,1414.2136,3
BR0160,P011223,X001223190,1414.2136,3
BR0161,P001224,X001124103,1414.2136,3
BR0162,P011124,X001124103,1414.2136,3
BR0163,P001224,X001223196,1414.2136,3
BR0164,P001323,X001223196,1414.2136,3
CO0019,P001225,P011225,2000,1
BR0165,P001225,X001224205,1414.2136,3
BR0166,P011224,X001224205,1414.2136,3
BR0167,P001225,X001225216,1414.2136,3
BR0168,P001324,X001225216,1414.2136,3
CO0020,P001319,P011319,2000,1
BE0032,P001319,P001320,2000,2
BR0169,P001319,X001319220,1414.2136,3
BR0170,P011320,X001319220,1414.2136,3
BR0171,P001319,X001219130,1414.2136,3
BR0172,P011219,X001219130,1414.2136,3
CO0021,P001320,P011320,2000,1
BE0033,P001320,P001321,2000,2
BR0173,P001320,X001320226,1414.2136,3
BR0174,P011321,X001320226,1414.2136,3
BR0175,P001320,X001319220,1414.2136,3
BR0176,P011319,X001319220,1414.2136,3
BR0177,P001320,X001220143,1414.2136,3
BR0178,P011220,X001220143,1414.2136,3
CO0022,P001321,P011321,2000,1
BE0034,P001321,P001322,2000,2
BR0179,P001321,X001321234,1414.2136,3
BR0180,P011322,X001321234,1414.2136,3
BR0181,P001321,X001320226,1414.2136,3
BR0182,P011320,X001320226,1414.2136,3
BR0183,P001321,X001221158,1414.2136,3
BR0184,P011221,X001221158,1414.2136,3
CO0023,P001322,P011322,2000,1
BE0035,P001322,P001323,2000,2
BR0185,P001322,X001322242,1414.2136,3
BR0186,P011323,X001322242,1414.2136,3
BR0187,P001322,X001321234,1414.2136,3
BR0188,P011321,X001321234,1414.2136,3
BR0189,P001322,X001222173,1414.2136,3
BR0190,P011222,X001222173,1414.2136,3
CO0024,P001323,P011323,2000,1
BE0036,P001323,P001324,2000,2
BR0191,P001323,X001323250,1414.2136,3
BR0192,P011324,X001323250,1414.2136,3
BR0193,P001323,X001322242,1414.2136,3
BR0194,P011322,X001322242,1414.2136,3
BR0195,P001323,X001223188,1414.2136,3
BR0196,P011223,X001223188,1414.2136,3
CO0025,P001324,P011324,2000,1
BR0197,P001324,X001323250,1414.2136,3
BR0198,P011323,X001323250,1414.2136,3
BR0199,P001324,X001224203,1414.2136,3
BR0200,P011224,X001224203,1414.2136,3
CO0026,P011115,P021115,2000,1
BE0037,P011115,P011116,2000,2
BR0201,P011115,X011115263,1414.2136,3
BR0202,P021116,X011115263,1414.2136,3
CO0027,P011116,P021116,2000,1
BE0038,P011116,P011117,2000,2
BR0203,P011116,X011116267,1414.2136,3
BR0204,P021117,X011116267,1414.2136,3
BR0205,P011116,X011115263,1414.2136,3
BR0206,P021115,X011115263,1414.2136,3
BR0207,P011116,X011116271,1414.2136,3
BR0208,P011217,X011116271,1414.2136,3
CO0028,P011117,P021117,2000,1
BE0039,P011117,P011217,2000,2
BE0040,P011117,P011118,2000,2
BR0209,P011117,X011117276,1414.2136,3
BR0210,P021118,X011117276,1414.2136,3
BR0211,P011117,X011116267,1414.2136,3
BR0212,P021116,X011116267,1414.2136,3
BR0213,P011117,X011117280,1414.2136,3
BR0214,P011218,X011117280,1414.2136,3
CO0029,P011118,P021118,2000,1
BE0041,P011118,P011218,2000,2
BE0042,P011118,P011119,2000,2
BR0215,P011118,X011118285,1414.2136,3
BR0216,P021218,X011118285,1414.2136,3
BR0217,P011118,X011118287,1414.2136,3
BR0218,P021119,X011118287,1414.2136,3
BR0219,P011118,X011117276,1414.2136,3
BR0220,P021117,X011117276,1414.2136,3
BR0221,P011118,X011118291,1414.2136,3
BR0222,P011219,X011118291,1414.2136,3
BR0223,P011118,X011117280,1414.2136,3
BR0224,P011217,X011117280,1414.2136,3
CO0030,P011119,P021119,2000,1
BE0043,P011119,P011219,2000,2
BE0044,P011119,P011120,2000,2
BR0225,P011119,X011119298,1414.2136,3
BR0226,P021219,X011119298,1414.2136,3
BR0227,P011119,X011119300,1414.2136,3
BR0228,P021120,X011119300,1414.2136,3
BR0229,P011119,X011118287,1414.2136,3
BR0230,P021118,X011118287,1414.2136,3
BR0231,P011119,X011119304,1414.2136,3
BR0232,P011220,X011119304,1414.2136,3
BR0233,P011119,X011118291,1414.2136,3
BR0234,P011218,X011118291,1414.2136,3
CO0031,P011120,P021120,2000,1
BE0045,P011120,P011220,2000,2
BE0046,P011120,P011121,2000,2
BR0235,P011120,X011120311,1414.2136,3
BR0236,P021220,X011120311,1414.2136,3
BR0237,P011120,X011120313,1414.2136,3
BR0238,P021121,X011120313,1414.2136,3
BR0239,P011120,X011119300,1414.2136,3
BR0240,P021119,X011119300,1414.2136,3
BR0241,P011120,X011120317,1414.2136,3
BR0242,P011221,X011120317,1414.2136,3
BR0243,P011120,X011119304,1414.2136,3
BR0244,P011219,X011119304,1414.2136,3
CO0032,P011121,P021121,2000,1
BE0047,P011121,P011221,2000,2
BE0048,P011121,P011122,2000,2
BR0245,P011121,X011121324,1414.2136,3
BR0246,P021221,X011121324,1414.2136,3
BR0247,P011121,X011121326,1414.2136,3
BR0248,P021122,X011121326,1414.2136,3
BR0249,P011121,X011120313,1414.2136,3
BR0250,P021120,X011120313,1414.2136,3
BR0251,P011121,X011121330,1414.2136,3
BR0252,P011222,X011121330,1414.2136,3
BR0253,P011121,X011120317,1414.2136,3
BR0254,P011220,X011120317,1414.2136,3
CO0033,P011122,P021122,2000,1
BE0049,P011122,P011222,2000,2
BE0050,P011122,P011123,2000,2
BR0255,P011122,X011122337,1414.2136,3
BR0256,P021222,X011122337,1414.2136,3
BR0257,P011122,X011122339,1414.2136,3
BR0258,P021123,X011122339,1414.2136,3
BR0259,P011122,X011121326,1414.2136,3
BR0260,P021121,X011121326,1414.2136,3
BR0261,P011122,X011122343,1414.2136,3
BR0262,P011223,X011122343,1414.2136,3
BR0263,P011122,X011121330,1414.2136,3
BR0264,P011221,X011121330,1414.2136,3
CO0034,P011123,P021123,2000,1
BE0051,P011123,P011223,2000,2
BE0052,P011123,P011124,2000,2
BR0265,P011123,X011123350,1414.2136,3
BR0266,P021223,X011123350,1414.2136,3
BR0267,P011123,X011122339,1414.2136,3
BR0268,P021122,X011122339,1414.2136,3
BR0269,P011123,X011123354,1414.2136,3
BR0270,P011224,X011123354,1414.2136,3
BR0271,P011123,X011122343,1414.2136,3
BR0272,P011222,X011122343,1414.2136,3
BE0053,P011124,P011224,2000,2
BR0273,P011124,X011124359,1414.2136,3
BR0274,P021123,X011124359,1414.2136,3
BR0275,P011124,X011124361,1414.2136,3
BR0276,P011225,X011124361,1414.2136,3
BR0277,P011124,X011123354,1414.2136,3
BR0278,P011223,X011123354,1414.2136,3
BE0054,P011217,P011218,2000,2
BR0279,P011217,X011217366,1414.2136,3
BR0280,P021218,X011217366,1414.2136,3
BR0281,P011217,X011217368,1414.2136,3
BR0282,P021117,X011217368,1414.2136,3
CO0035,P011218,P021218,2000,1
BE0055,P011218,P011219,2000,2
BR0283,P011218,X011218372,1414.2136,3
BR0284,P021219,X011218372,1414.2136,3
BR0285,P011218,X011118285,1414.2136,3
BR0286,P021118,X011118285,1414.2136,3
BR0287,P011218,X011218376,1414.2136,3
BR0288,P011319,X011218376,1414.2136,3
CO0036,P011219,P021219,2000,1
BE0056,P011219,P011319,2000,2
BE0057,P011219,P011220,2000,2
BR0289,P011219,X011219381,1414.2136,3
BR0290,P021220,X011219381,1414.2136,3
BR0291,P011219,X011218372,1414.2136,3
BR0292,P021218,X011218372,1414.2136,3
BR0293,P011219,X011119298,1414.2136,3
BR0294,P021119,X011119298,1414.2136,3
BR0295,P011219,X011219387,1414.2136,3
BR0296,P011320,X011219387,1414.2136,3
CO0037,P011220,P021220,2000,1
BE0058,P011220,P011320,2000,2
BE0059,P011220,P011221,2000,2
BR0297,P011220,X011220392,1414.2136,3
BR0298,P021221,X011220392,1414.2136,3
BR0299,P011220,X011219381,1414.2136,3
BR0300,P021219,X011219381,1414.2136,3
BR0301,P011220,X011120311,1414.2136,3
BR0302,P021120,X011120311,1414.2136,3
BR0303,P011220,X011220398,1414.2136,3
BR0304,P011321,X011220398,1414.2136,3
BR0305,P011220,X011219387,1414.2136,3
BR0306,P011319,X011219387,1414.2136,3
CO0038,P011221,P021221,2000,1
BE0060,P011221,P011321,2000,2
BE0061,P011221,P011222,2000,2
BR0307,P011221,X011221405,1414.2136,3
BR0308,P021321,X011221405,1414.2136,3
BR0309,P011221,X011221407,1414.2136,3
BR0310,P021222,X011221407,1414.2136,3
BR0311,P011221,X011220392,1414.2136,3
BR0312,P021220,X011220392,1414.2136,3
BR0313,P011221,X011121324,1414.2136,3
BR0314,P021121,X011121324,1414.2136,3
BR0315,P011221,X011221413,1414.2136,3
BR0316,P011322,X011221413,1414.2136,3
BR0317,P011221,X011220398,1414.2136,3
BR0318,P011320,X011220398,1414.2136,3
CO0039,P011222,P021222,2000,1
BE0062,P011222,P011322,2000,2
BE0063,P011222,P011223,2000,2
BR0319,P011222,X011222420,1414.2136,3
BR0320,P021322,X011222420,1414.2136,3
BR0321,P011222,X011222422,1414.2136,3
BR0322,P021223,X011222422,1414.2136,3
BR0323,P011222,X011221407,1414.2136,3
BR0324,P021221,X011221407,1414.2136,3
BR0325,P011222,X011122337,1414.2136,3
BR0326,P021122,X011122337,1414.2136,3
BR0327,P011222,X011222428,1414.2136,3
BR0328,P011323,X011222428,1414.2136,3
BR0329,P011222,X011221413,1414.2136,3
BR0330,P011321,X011221413,1414.2136,3
CO0040,P011223,P021223,2000,1
BE0064,P011223,P011323,2000,2
BE0065,P011223,P011224,2000,2
BR0331,P011223,X011223435,1414.2136,3
BR0332,P021323,X011223435,1414.2136,3
BR0333,P011223,X011222422,1414.2136,3
BR0334,P021222,X011222422,1414.2136,3
BR0335,P011223,X011123350,1414.2136,3
BR0336,P021123,X011123350,1414.2136,3
BR0337,P011223,X011223441,1414.2136,3
BR0338,P011324,X011223441,1414.2136,3
BR0339,P011223,X011222428,1414.2136,3
BR0340,P011322,X011222428,1414.2136,3
BE0066,P011224,P011324,2000,2
BE0067,P011224,P011225,2000,2
BR0341,P011224,X011224447,1414.2136,3
BR0342,P021223,X011224447,1414.2136,3
BR0343,P011224,X011223441,1414.2136,3
BR0344,P011323,X011223441,1414.2136,3
BR0345,P011225,X011225451,1414.2136,3
BR0346,P011324,X011225451,1414.2136,3
BE0068,P011319,P011320,2000,2
BR0347,P011319,X011319454,1414.2136,3
BR0348,P021219,X011319454,1414.2136,3
BE0069,P011320,P011321,2000,2
BR0349,P011320,X011320457,1414.2136,3
BR0350,P021321,X011320457,1414.2136,3
BR0351,P011320,X011320459,1414.2136,3
BR0352,P021220,X011320459,1414.2136,3
CO0041,P011321,P021321,2000,1
BE0070,P011321,P011322,2000,2
BR0353,P011321,X011321463,1414.2136,3
BR0354,P021322,X011321463,1414.2136,3
BR0355,P011321,X011221405,1414.2136,3
BR0356,P021221,X011221405,1414.2136,3
CO0042,P011322,P021322,2000,1
BE0071,P011322,P011323,2000,2
BR0357,P011322,X011322469,1414.2136,3
BR0358,P021323,X011322469,1414.2136,3
BR0359,P011322,X011321463,1414.2136,3
BR0360,P021321,X011321463,1414.2136,3
BR0361,P011322,X011222420,1414.2136,3
BR0362,P021222,X011222420,1414.2136,3
CO0043,P011323,P021323,2000,1
BE0072,P011323,P011324,2000,2
BR0363,P011323,X011322469,1414.2136,3
BR0364,P021322,X011322469,1414.2136,3
BR0365,P011323,X011223435,1414.2136,3
BR0366,P021223,X011223435,1414.2136,3
BR0367,P011324,X011324481,1414.2136,3
BR0368,P021323,X011324481,1414.2136,3
BE0073,P021115,P021116,2000,2
BE0074,P021116,P021117,2000,2
BE0075,P021117,P021118,2000,2
BR0369,P021117,X021117486,1414.2136,3
BR0370,P021218,X021117486,1414.2136,3
BE0076,P021118,P021218,2000,2
BE0077,P021118,P021119,2000,2
BR0371,P021118,X021118490,1414.2136,3
BR0372,P031119,X021118490,1414.2136,3
BR0373,P021118,X021118492,1414.2136,3
BR0374,P021219,X021118492,1414.2136,3
CO0044,P021119,P031119,2000,1
BE0078,P021119,P021219,2000,2
BE0079,P021119,P021120,2000,2
BR0375,P021119,X021119497,1414.2136,3
BR0376,P031120,X021119497,1414.2136,3
BR0377,P021119,X021119499,1414.2136,3
BR0378,P021220,X021119499,1414.2136,3
BR0379,P021119,X021118492,1414.2136,3
BR0380,P021218,X021118492,1414.2136,3
CO0045,P021120,P031120,2000,1
BE0080,P021120,P021220,2000,2
BE0081,P021120,P021121,2000,2
BR0381,P021120,X021120506,1414.2136,3
BR0382,P031121,X021120506,1414.2136,3
BR0383,P021120,X021119497,1414.2136,3
BR0384,P031119,X021119497,1414.2136,3
BR0385,P021120,X021120510,1414.2136,3
BR0386,P021221,X021120510,1414.2136,3
BR0387,P021120,X021119499,1414.2136,3
BR0388,P021219,X021119499,1414.2136,3
CO0046,P021121,P031121,2000,1
BE0082,P021121,P021221,2000,2
BE0083,P021121,P021122,2000,2
BR0389,P021121,X021120506,1414.2136,3
BR0390,P031120,X021120506,1414.2136,3
BR0391,P021121,X021121519,1414.2136,3
BR0392,P021222,X021121519,1414.2136,3
BR0393,P021121,X021120510,1414.2136,3
BR0394,P021220,X021120510,1414.2136,3
BE0084,P021122,P021222,2000,2
BE0085,P021122,P021123,2000,2
BR0395,P021122,X021122525,1414.2136,3
BR0396,P031121,X021122525,1414.2136,3
BR0397,P021122,X021122527,1414.2136,3
BR0398,P021223,X021122527,1414.2136,3
BR0399,P021122,X021121519,1414.2136,3
BR0400,P021221,X021121519,1414.2136,3
BE0086,P021123,P021223,2000,2
BR0401,P021123,X021122527,1414.2136,3
BR0402,P021222,X021122527,1414.2136,3
BE0087,P021218,P021219,2000,2
BE0088,P021219,P021220,2000,2
BR0403,P021219,X021219536,1414.2136,3
BR0404,P031119,X021219536,1414.2136,3
BE0089,P021220,P021221,2000,2
BR0405,P021220,X021220539,1414.2136,3
BR0406,P031120,X021220539,1414.2136,3
BR0407,P021220,X021220541,1414.2136,3
BR0408,P021321,X021220541,1414.2136,3
BE0090,P021221,P021321,2000,2
BE0091,P021221,P021222,2000,2
BR0409,P021221,X021221545,1414.2136,3
BR0410,P031121,X021221545,1414.2136,3
BR0411,P021221,X021221547,1414.2136,3
BR0412,P021322,X021221547,1414.2136,3
BE0092,P021222,P021322,2000,2
BE0093,P021222,P021223,2000,2
BR0413,P021222,X021222551,1414.2136,3
BR0414,P021323,X021222551,1414.2136,3
BR0415,P021222,X021221547,1414.2136,3
BR0416,P021321,X021221547,1414.2136,3
BE0094,P021223,P021323,2000,2
BR0417,P021223,X021222551,1414.2136,3
BR0418,P021322,X021222551,1414.2136,3
BE0095,P021321,P021322,2000,2
BE0096,P021322,P021323,2000,2
BE0097,P031119,P031120,2000,2
BE0098,P031120,P031121,2000,2
